Continent,Gender,Region_year,No_1,No_2,No_3,No_4,No_5,No_6,No_7,No_8,No_9,No_10,No_11,No_12,No_13,No_14,No_15,No_16,No_17,No_18,No_19,No_20,No_21,No_22,No_23
Europe,F,Bulgaria  (2015)[73],Viktoria,Maria,Nikol,Aleksandra,Gabriela,Daria,Raya,Yoana,Sofia,Simona,,,,,,,,,,,,,
Europe,F,Croatia (2017)[75],Mia,Maria,Sara,Ana,Ema,Petra,Lana,Nika,Marta,Elena,,,,,,,,,,,,,
Europe,F,"Cyprus (2011, census)[76][77]",Maria,Eleni,Androula,Georgia,Panagiota,Anna,Christina,Katerina,Ioanna,Kyriaki,,,,,,,,,,,,,
Europe,F,Czech Republic   (2014)[78],Eliška,Tereza,Anna,Adéla,Natálie,Sofie,Kristýna,Karolína,Viktorie,Barbora,,,,,,,,,,,,,
Europe,F,Denmark (2018 births)[79],Ida,Emma,Alma,Ella,Sofia,Freja,Josefine,Clara,Anna,Karla,,,,,,,,,,,,,
Europe,F,"England, United Kingdom (2016)[80]",Olivia,Amelia,Emily,Isla,Ava,Jessica,Isabella,Lily,Ella,Mia,,,,,,,,,,,,,
Europe,F,Estonia  (2015)[81],Sofia,Eliise,Maria,Sandra,Laura/Mia,Alisa,Milana,Lenna/Polina,Liisa,Anna/Emilia,,,,,,,,,,,,,
Europe,F,"Faroe Islands, Denmark  (2014)[82]",Eva,Emma/Hanna,Maria/Ró,Elsa/Lea/Sofía,Isabella/Lilja/Liva/Mia/Ronja/Rósa,,,,,,,,,,,,,,,,,,
Europe,F,"Finland  (2019 births, among Finnish speakers)[83]",Aino,Aada,Sofia,Eevi,Olivia,Lilja,Helmi,Ellen,Emilia,Ella,,,,,,,,,,,,,
Europe,F,France (2017)[84],Emma,Louise,Jade,Alice,Chloé,Lina,Mila,Léa,Manon,Rose,,,,,,,,,,,,,
Europe,F,Georgia (2014)[85],Mariami,Barbare ,Elene,Anastasia,Nino,Nia,Ana,Elizaveta,,,,,,,,,,,,,,,
Europe,F,Germany   (2015)[86],Mia,Emma,Hannah/Hanna,Sofia/Sophia,Anna,Emilia,Lina,Marie,Lena,Mila,,,,,,,,,,,,,
Europe,F,Greece (2010)[128],Maria,Eleni,Aikaterini/Katerina,Vasiliki/Basiliki,Sophia,Angeliki,Georgia/Giorgia/Gogo,Dimitra,Konstantina/Kostantina,Paraskevi/Paraskeui,,,,,,,,,,,,,
Europe,F,Guernsey (2010)[89],Chloe/Olivia,Daisy,Isla,Jessica,,,,,,,,,,,,,,,,,,,
Europe,F,Hungary   (2014)[90],Hanna,Anna,Jázmin,Lili,Zsófia,Emma,Luca,Boglárka,Zoé,Nóra,,,,,,,,,,,,,
Europe,F,Iceland   (2014 births)[91][92][93],Margrét/Margrjet/Margret,Anna,Emma,Ísabella/Ísabel/Isabella/Isabel,Eva,Hekla/Kristín/Viktoría,Emilía/Emelía,Katrín,,,,,,,,,,,,,,,
Europe,F,Ireland   (2015)[94],Emily,Emma,Ava,Sophie,Amelia,Ella,Lucy,Grace,Chloe,Mia,,,,,,,,,,,,,
Europe,F,Isle of Man  (2010)[95],Isabella,Eva/Evie,Lilly,Sofia,Amelia/Emma/Olivia,Abbie/Chloe,Holly,Grace/Maisie/Mia/Sienna,,,,,,,,,,,,,,,
Europe,F,Italy (2018)[96],Sofia,Giulia,Aurora,Alice,Ginevra,Emma,Giorgia,Greta,Beatrice,Anna,,,,,,,,,,,,,
Europe,F,Latvia (2014)[97],Sofija,Emīlija,Alise,Anna,Marta,Viktorija,Elizabete,Estere,Anastasija,Paula,,,,,,,,,,,,,
Europe,F,Liechtenstein  (2015)[98],Anna/Noemi,,,,,,,,,,,,,,,,,,,,,,
Europe,F,"Lithuania  (2015, unofficial)[99]",Emilija,Austėja,Viltė,Gabija,Liepa,Kamilė,Lėja,Ugnė,Ema,Urtė,,,,,,,,,,,,,
Europe,F,"Luxembourg, Luxembourg  (2014, babies born)[100]",Emma,Lara,Zoé,Amy,Sarah,Charlotte,Emily,,,,,,,,,,,,,,,,
Europe,F,"Republic of North Macedonia  (2012, general population)[101]",Marija,Elena,Biljana,Vesna,Snezana,Violeta,Aleksandra,Suzana,Katerina,Ivana,,,,,,,,,,,,,
Europe,F,Malta   (2014)[103],Elena/Elenia/Helena/Ella,Julia/Yulia/Julianne,Emma/Emmanuela/Ema,Eliza/Elisa/Elizabeth/Elise,Catherine/Katrina/Kate/Katya,Maya/Mia/Myah,Lea/Leah/Leia,Emilia/Emily/Emelie,Amy/Aimee,Maria/Marija/Mariah/Marie,Anna/Hannah/Ann,,,,,,,,,,,,
Europe,F,Moldova  (2016)[129],Sofia,Anastasia,Daria,Victoria,Alexandra,Evelina,Amelia,Andreea,Valeria,Gabriela,,,,,,,,,,,,,
Europe,F,Monaco (2015)[105],Victoria,Giulia,Chloé,Emma,Anna,,,,,,,,,,,,,,,,,,
Europe,F,"Montenegro (2011, general population)[106]",Jelena,Milica,Marija,Ivana,Milena,Ana,Dragana,Radmila,Vesna,Ljiljana,,,,,,,,,,,,,
Europe,F,Montenegro (2017)[107],Sofija,Sara,Maša,Dunja,Jana,Teodora,Jovana,Helena,Anja,Hana,,,,,,,,,,,,,
Europe,F,Netherlands   (2016)[108],Anna/Emma/Tess,Sophie,Julia,Zoë,Evi,Mila,Sara,Eva,Fenna,Lotte,,,,,,,,,,,,,
Europe,F,"Northern Ireland, United Kingdom   (2015)[109]",Emily,Ella,Grace,Sophie,Olivia,Anna,Amelia,Aoife,Lucy,Ava,,,,,,,,,,,,,
Europe,F,Norway   (2016)[110],Nora,Emma,Sara,Sofie,Sofia,Maja,Olivia,Ella,Ingrid,Emilie,,,,,,,,,,,,,
Europe,F,Poland   (2016)[130],Zuzanna,Julia,Lena,Maja,Hanna,Zofia,Amelia,Alicja,Aleksandra,Natalia,,,,,,,,,,,,,
Europe,F,Portugal   (2015)[131],Maria,Leonor,Matilde,Beatriz,Carolina,Mariana,Ana,Inês,Margarida,Sofia,,,,,,,,,,,,,
Europe,F,Romania  (2014)[113],Maria,Elena,Ioana,Andreea,Sofia,Alexandra,Antonia,Daria,Ana,Gabriela,,,,,,,,,,,,,
Europe,F,"Moscow, Russia (2015 births, official civil registry figures)[114]",Sofiya/Sofya,Mariya/Marya,Anna,Anastasiya,Viktoriya,Yelizaveta,Polina,Alisa,Darya/Dariya,Alexandra,,,,,,,,,,,,,
Europe,F,"Russia (2012, official civil registry figures (ЗАГС))[115]",Anastasia,Yelena,Olga,Natalia,Yekaterina,Anna,Tatiana,Maria,Irina,Yulia,,,,,,,,,,,,,
Europe,F,"Scotland, United Kingdom   (2016)[116]",Olivia,Emily,Sophie,Isla,Ava,Amelia,Jessica,Ella,Lucy,Charlotte,,,,,,,,,,,,,
Europe,F,"Serbia (2011, general population)[117]",Milica,Jelena,Marija,Mirjana,Dragana,Snežana,Ljiljana,Ivana,Ana,Gordana,,,,,,,,,,,,,
Europe,F,Serbia  (2014)[118],Milica,Anđela,Jovana,Ana,Teodora,Katarina,Marija,Sara,Anastasija,Aleksandra,,,,,,,,,,,,,
Europe,F,Slovakia  (2013)[119],Sofia,Nina,Natália,Nela,Viktória,Ema,Laura,Michaela,Kristína,Simona,,,,,,,,,,,,,
Europe,F,Slovenia (2017)[120],Zala,Eva,Ema,Lara,Sara,Maša,Mia,Ana,Neža,Zoja,,,,,,,,,,,,,
Europe,F,"Spain  (2016, excluding Basque Country & Catalonia)[121]",Lucía,Martina,María,Sofía,Paula,Daniela,Valeria,Alba,Julia,Noa,,,,,,,,,,,,,
Europe,F,"Basque Country, Spain   (2015)[121]",Ane,June,Nahia,Irati,Laia,Nora,Izaro,Lucía,Malen,Uxue,,,,,,,,,,,,,
Europe,F,"Catalonia, Spain   (2015)[121]",Martina,Júlia,Laia,Lucia,Maria,Emma,Aina,Paula,Noa,Carla,,,,,,,,,,,,,
Europe,F,Sweden   (2016)[122],Alice,Lilly,Maja,Elsa,Ella,Alicia,Olivia,Julia,Ebba,Wilma,,,,,,,,,,,,,
Europe,F,"Switzerland (2016, all births)",Mia,Emma,Elena,Sofia,Lena,Emilia,Lara,Anna,Laura,Mila,,,,,,,,,,,,,
Europe,F,Ukraine  (2020)[124],Sofiya,Anastasiya,Anna/Hanna,Mariya,Alisa,Viktoriya,Veronika,Polina,Luna,,,,,,,,,,,,,,
Europe,F,"Wales, United Kingdom  (2016)[80]",Olivia,Amelia,Ella,Ava,Isla,Emily,Evie,Mia,Lily,Isabelle,,,,,,,,,,,,,
Oceania,M,Australia (2015)[132],Oliver,William,Jack,Noah,Jackson/Jaxon/Jaxson,Thomas,Lucas,James,Alex/Alexander,Ethan,,,,,,,,,,,,,
Oceania,M,New Zealand (2019)[133],Oliver,Noah,Leo,Jack,Lucas,George,James,William,Thomas,Charlie,,,,,,,,,,,,,
Oceania,M,"New Zealand (Māori names, 2019)[133]",Nikau,Mikaere,Ari,Manaia,Mateo,Te Ariki,Taika,Ariki,Kauri,Rawiri,,,,,,,,,,,,,
Oceania,M,"Tahiti (common names, unofficial)[134]",Hiro,Teiki,Moana,Manua,Marama,Teiva,Teva,Maui,Tehei,Tamatoa,Ioane,Tapuarii,,,,,,,,,,,
Oceania,F,Australia  (2015)[132],Olivia,Charlotte,Mia,Ava,Amelia,Emily,Sofia/Sophia,Sophie,Chloe,Ruby,,,,,,,,,,,,,
Oceania,F,New Zealand (2019)[133],Amelia,Charlotte,Isla,Olivia,Ruby,Sophie,Harper,Mila,Willow,Ava,,,,,,,,,,,,,
Oceania,F,"New Zealand (Māori names, 2019)[133]",Mia,Aria,Maia,Amaia,Nina,Manaia,Kaia,Aroha,Tui,Ataahua,,,,,,,,,,,,,
Oceania,F,"Tahiti (common names, unofficial)[134]",Tiare,Hinano,Poema,Maeva,Hina,Vaea,Titaua,Moea,Moeata,Tarita,Titaina,Teura,Heikapu,Mareva,,,,,,,,,
